"KELUR VILLAGE S.R NO 277/4 LAND KADI QURIYALL, KELUR VILLAGE S.R NO 277/4 LAND KADI QURIYALL",8,2016
"In Shivapur Cross, In Shivapur Cross",9,2016
"Niralakeri Village accused farms house, Niralakeri Village accused farms house",9,2016
"Raichur Belagavi Road In Benakatti Cross, Raichur Belagavi Road In Benakatti Cross",9,2020
"Gururaj hadimani Farm House At Honnakatti Village, Gururaj hadimani Farm House At Honnakatti Village",1,2022
"ILKAL NEAR SVM COLLAGE FRONT, ILKAL NEAR SVM COLLAGE FRONT",8,2016
"ILKAL IN BASAVESWAR CIRCLE, ILKAL IN BASAVESWAR CIRCLE",1,2024
"ON KAGALAGOMBA KERUR ROAD NEAR KAGALAGOMBA VILLAGE, ON KAGALAGOMBA KERUR ROAD NEAR KAGALAGOMBA VILLAGE",11,2016
"Belagali Limits, Heggannavar Kodi Area, Belagali Limits, Heggannavar Kodi Area",4,2023
"Belagali Town near Mahalingeshwar Temple, Belagali Town near Mahalingeshwar Temple",10,2023
"Malapur Village Near Narayan School Compound, Malapur Village Near Narayan School Compound",10,2023
"Vidyagiri 8 th Cross In Accused House, Vidyagiri 8 th Cross In Accused House",10,2023
"In Savalagi Village Limits Rahimatbeg Ameerbeg, In Savalagi Village Limits Rahimatbeg Ameerbeg",9,2020
"BESIDE KAVIT WINES JALIBENCHI NAGIREDDY HOUSE, BESIDE KAVIT WINES JALIBENCHI NAGIREDDY HOUSE",10,2023
"GUGGRAHATTI, GUGGRAHATTI",11,2023
"Kottur Swamy Matt Complexes ,, Kottur Swamy Matt Complexes ,",10,2016
"ACCUSED HOUSE'S, NEAR ANJENEYA SWAMY TEMPLE,, ACCUSED HOUSE'S, NEAR ANJENEYA SWAMY TEMPLE,",10,2016
"Infront Of M.G.Petrol Bunk, Infront Of M.G.Petrol Bunk",10,2016
"BENGALORE ROAD, SHREE SAI GENERAL STORE SHOP, BENGALORE ROAD, SHREE SAI GENERAL STORE SHOP",10,2023
"At Public Road, Near Sai baba temple,, At Public Road, Near Sai baba temple,",10,2023
"Servy No 674 Land Choranuru village, Servy No 674 Land Choranuru village",3,2023
"Cowlbazar Market, Cowlbazar, Cowlbazar Market, Cowlbazar",10,2016
"Cowlbazar Market, Cowlbazar Market",10,2016
"In Vasavi Traders Shop, 8th ward, S N Pate, In Vasavi Traders Shop, 8th ward, S N Pate",10,2023
"IN RAJASHEKHAR'S SHOP, NEAR SRI NAGANATHESHWAR, IN RAJASHEKHAR'S SHOP, NEAR SRI NAGANATHESHWAR",10,2023
"IN MAREGOUDA'S GODOWN, KURUGODU-SIRIGERI ROAD,, IN MAREGOUDA'S GODOWN, KURUGODU-SIRIGERI ROAD,",10,2023
"INSIDE UC VENKATESHASHETTY GENERAL STORES, INSIDE UC VENKATESHASHETTY GENERAL STORES",10,2023
"INSIDE MULLURU SHESHAYYASHETTY GOWDAN, INSIDE MULLURU SHESHAYYASHETTY GOWDAN",10,2023
"INSIDE JAINULLA ABHIDDIN GOWDEN, INSIDE JAINULLA ABHIDDIN GOWDEN",10,2023
"Parvathi Agenies Godown, Parvathi Agenies Godown",10,2023
"13th Ward in ShekannaD Goden, 13th Ward in ShekannaD Goden",10,2023
"Kalanatti Village, Kalanatti Village",7,2016
"H.No.381, Ganeshapur,, H.No.381, Ganeshapur,",10,2023
"HONAGA VILLAGE LIMITS, HONAGA VILLAGE LIMITS",3,2021
"TELASANG LIMITS SHIVARAM LOKANDE LAND, TELASANG LIMITS SHIVARAM LOKANDE LAND",2,2021
"DESARATTI VILLAGE LIMITS ATHANI VIJAYAPUR ROAD, DESARATTI VILLAGE LIMITS ATHANI VIJAYAPUR ROAD",1,2022
"IN HASAN ABBAS BIRADAR LAND PARTHANALLI, IN HASAN ABBAS BIRADAR LAND PARTHANALLI",10,2020
"Madabavi Village Limits Near Ambedkar Circ, Madabavi Village Limits Near Ambedkar Circ",7,2021
"Anantapur Village Limits, Anantapur Village Limits",10,2023
"Amatur Village, Amatur Village",10,2023
"DADIWALE NEW PLOTS, RAMANAGAR, DADIWALE NEW PLOTS, RAMANAGAR",2,2017
"Hattarawat Village, Hattarawat Village",2,2021
"Pete Oni General Kirani Store At:Doddawad, Pete Oni General Kirani Store At:Doddawad",10,2023
"Godachinamalki village Near markandeya river, Godachinamalki village Near markandeya river",10,2020
"HARUGGERI TOWN LIMTS, HARUGGERI TOWN LIMTS",10,2023
"IN PANIWALE RCC BUILDING DURGA NAGAR, IN PANIWALE RCC BUILDING DURGA NAGAR",9,2018
"Stone Crusher, Amate Village Limits, Stone Crusher, Amate Village Limits",2,2021
"Mahantesh General Store Bazar Pet Parishwad, Mahantesh General Store Bazar Pet Parishwad",10,2023
"At : M K Hubli, At : M K Hubli",10,2023
"Morab Village Limits, Morab Village Limits",6,2021
"PI ISD Unit Belgavi, PI ISD Unit Belgavi",1,2021
"Honkuppi Village Limits, Honkuppi Village Limits",2,2021
"Vaderahatti Villege, Vaderahatti Villege",9,2022
"Nirvani Kirani store near Gandhichouk Mudalagi, Nirvani Kirani store near Gandhichouk Mudalagi",10,2023
"SATTIGERI VILLAGE LIMITS SAINATH STONE CRUSHR, SATTIGERI VILLAGE LIMITS SAINATH STONE CRUSHR",12,2020
"NANDAGAD VILLEGE LIMIT KAMASHETTI SHOP, NANDAGAD VILLEGE LIMIT KAMASHETTI SHOP",9,2018
"NEAR MACHIGAD VILLAGE, NEAR MACHIGAD VILLAGE",11,2020
"DEMINAKOPP VILLAGE LIMITS, DEMINAKOPP VILLAGE LIMITS",10,2022
"At: Itagi Village Limits, At: Itagi Village Limits",10,2023
"Kodni village limits near indian oil petrol pump, Kodni village limits near indian oil petrol pump",2,2023
"Kunnur village limits, Kunnur village limits",10,2023
"Biranal Limits Ganapati Uppar Cruser Mission Kari, Biranal Limits Ganapati Uppar Cruser Mission Kari",8,2020
"GALATAGA VILLAGE, GALATAGA VILLAGE",2,2017
"BHOJ VILLAGE LIMITS NEAR KARADAGA BRIDGE, BHOJ VILLAGE LIMITS NEAR KARADAGA BRIDGE",4,2021
"Construction School Building, Kuvempu Road,, Construction School Building, Kuvempu Road,",3,2023
"No.1423, Sy.No.47/2,Gidadakonenahalli,Vishwaneedam, No.1423, Sy.No.47/2,Gidadakonenahalli,Vishwaneedam",11,2023
"Mittiganahalli Bande, Mittiganahalli Bande",5,2016
"survey No17/9, Yellukunte Mangammanapalya, survey No17/9, Yellukunte Mangammanapalya",10,2023
"Survey No 17/9, 17/10, A 17/10B, 18/11, Yellukunte, Survey No 17/9, 17/10, A 17/10B, 18/11, Yellukunte",10,2023
"#79/1, 1st Floor, Beside S.L.V Coffee Corner,, #79/1, 1st Floor, Beside S.L.V Coffee Corner,",10,2023
"SITE.NO.71, 3RD CROSS, SITE.NO.71, 3RD CROSS",7,2017
"SURVEY NO-33 MANA PROJECT PVT LTD,, SURVEY NO-33 MANA PROJECT PVT LTD,",10,2022
"Nagaraj Trading, 10th Cross, 5th Main,, Nagaraj Trading, 10th Cross, 5th Main,",10,2023
"SHYAM FANCY STORE, OPPOSITE TO VENKATESHWARA, SHYAM FANCY STORE, OPPOSITE TO VENKATESHWARA",11,2023
"METRO RAILWAY STATION,NAYANDAHALLI,, METRO RAILWAY STATION,NAYANDAHALLI,",2,2016
"Adjacent Rekha Chemical Factory,No.29/30, 1st Main, Adjacent Rekha Chemical Factory,No.29/30, 1st Main",11,2020
"Infront of Rekha Industries company, A street, Infront of Rekha Industries company, A street",11,2020
"Metturu lagistic, Near royan corcle, Metturu lagistic, Near royan corcle",12,2023
"NEAR APOLLO SCHOOL,100 FEET RING ROAD,, NEAR APOLLO SCHOOL,100 FEET RING ROAD,",12,2016
"SY NO-179,177/3, 178/1, 178/2, 178/3 , 34/1,34/2,, SY NO-179,177/3, 178/1, 178/2, 178/3 , 34/1,34/2,",7,2023
"Nagaraj Trading Fire works godowns and shops, Nagaraj Trading Fire works godowns and shops",10,2023
"Cubatic Auster Company, Cubatic Auster Company",9,2020
"Gandhi Chouka, Gandhi Chouka",10,2023
"RAMESH RENT HOUSE BODUGUTTE BANDE MYLSANDRA, RAMESH RENT HOUSE BODUGUTTE BANDE MYLSANDRA",11,2019
"Sarvey No.65, Singasandra, Beguru Hobli, Sarvey No.65, Singasandra, Beguru Hobli",10,2023
"TIRUMALA PLASTIC AND GIFT CENTER, HOSAKEREHALLI, TIRUMALA PLASTIC AND GIFT CENTER, HOSAKEREHALLI",11,2023
"KAMADENU LADIES EMPORIUM, HOSAKEREHALLI MAIN ROAD,, KAMADENU LADIES EMPORIUM, HOSAKEREHALLI MAIN ROAD,",11,2023
"0NANJUDESHWAR STORS 1ST MAIN ROAD RUSHIKESHI NAGAR, 0NANJUDESHWAR STORS 1ST MAIN ROAD RUSHIKESHI NAGAR",11,2023
"1ST CROSS, 1ST CROSS",7,2018
"HON'BLE CCH 33RD CROUT CITY CIVIL COURT, HON'BLE CCH 33RD CROUT CITY CIVIL COURT",10,2020
"No.11/2, Behind Surya Sypony Apt, No.11/2, Behind Surya Sypony Apt",10,2023
"No.104, Near Shiva temple, No.104, Near Shiva temple",11,2023
"10th Cross, Arafath Nagar, 10th Cross, Arafath Nagar",1,2016
"No-236/3, 5th A Cross, New Tippasandra Road,, No-236/3, 5th A Cross, New Tippasandra Road,",10,2023
"6th Cross, 6th Cross",11,2023
"New Tippasandra Main Road, New Tippasandra Main Road",11,2023
"Opp Family Dental Care And Implant Clinic, Opp Family Dental Care And Implant Clinic",11,2023
"6th Cross, 6th Cross",11,2023
"5th Cross, 5th Cross",11,2023
