"IN MUDAKAPPA TALAWAR FIELD RS NO 40 AT DAMMUR, IN MUDAKAPPA TALAWAR FIELD RS NO 40 AT DAMMUR",11,2020
"VADAGERI FIELD S.NO 96/2A AT VADAGERI, VADAGERI FIELD S.NO 96/2A AT VADAGERI",9,2021
"SULEBHAVI VILLAGE NEAR BUS STAND, SULEBHAVI VILLAGE NEAR BUS STAND",2,2024
"In Field of Accused of Neelagund, In Field of Accused of Neelagund",3,2016
"In Katapur Cross, In Katapur Cross",8,2018
"MUTTALAGERI LIMITS, MUTTALAGERI LIMITS",9,2020
"Bagalkot-Hunagund SH 20 Road, Bagalkot-Hunagund SH 20 Road",8,2017
"ARAKERI TO KATARAKI ON ROAD IN FRONT CD POOL, ARAKERI TO KATARAKI ON ROAD IN FRONT CD POOL",1,2019
"HOSUR CROSS NEAR NH 50, HOSUR CROSS NEAR NH 50",8,2020
"Hubali to Vijayapur Road, Hubali to Vijayapur Road",9,2020
"HUBBALLI TO VIJAYAPUR NH218ROAD IN THE SUNAG CROSS, HUBBALLI TO VIJAYAPUR NH218ROAD IN THE SUNAG CROSS",4,2021
"Alamatti Bagalkot SH 135 Road, Alamatti Bagalkot SH 135 Road",11,2021
"Kulgaeri Cross, Kulgaeri Cross",9,2022
"Badami Guledagudd SH 59 Road, Badami Guledagudd SH 59 Road",3,2023
"Accused No 1 Land Survey  No 88/1B/1, Accused No 1 Land Survey  No 88/1B/1",9,2023
"Mamatageri Village  Near Durgadevi Temple, Mamatageri Village  Near Durgadevi Temple",12,2023
"Gaddanakeri Village near maliyappayya Swami Temple, Gaddanakeri Village near maliyappayya Swami Temple",2,2017
"In The Feild Of Accused Land S No 82*4A+5A, In The Feild Of Accused Land S No 82*4A+5A",1,2022
"SHIRUR VILLAGE NEAR BUS STAND, SHIRUR VILLAGE NEAR BUS STAND",3,2023
"KHB Colony (Ganeshgiri) Infront Dayanand House, KHB Colony (Ganeshgiri) Infront Dayanand House",12,2021
"Bagalkot Setlament Caloni, Bagalkot Setlament Caloni",6,2022
"Inside Public Road Near Sharana Basaveshwar Math, Inside Public Road Near Sharana Basaveshwar Math",3,2023
"Bagalkot Shanshavali Daraga, Bagalkot Shanshavali Daraga",3,2023
"Near Laxmi Temple, Haranashikari Colony, Near Laxmi Temple, Haranashikari Colony",10,2023
"HS Colony Near Raju Kale House, HS Colony Near Raju Kale House",11,2023
"Madanamatti - Asangi On Road, Near Dempo Dairy, Madanamatti - Asangi On Road, Near Dempo Dairy",9,2020
"Hipparagi Kulahalli Road, Near Lakkavva Temple, Hipparagi Kulahalli Road, Near Lakkavva Temple",3,2021
"IN ACCUSED FIELD RS NO 57 BANAHATTI KERE ROAD, IN ACCUSED FIELD RS NO 57 BANAHATTI KERE ROAD",9,2023
"NEAR VEERSAVARKAR CIRCLE BESIDE OF VIJAYAPUR ROAD, NEAR VEERSAVARKAR CIRCLE BESIDE OF VIJAYAPUR ROAD",3,2017
"KATARAKI KALADAGI ROAD NEAR LINGAPUR SK BRIDGE, KATARAKI KALADAGI ROAD NEAR LINGAPUR SK BRIDGE",7,2017
"In Galagali Village Infront of Complainant House, In Galagali Village Infront of Complainant House",3,2019
"IN THE ACCUSED HOUSE AT KOPPA SR RC, IN THE ACCUSED HOUSE AT KOPPA SR RC",8,2020
"ACCUSED FILED SIDDAPUR LIMITS, ACCUSED FILED SIDDAPUR LIMITS",1,2022
"INFRONT MALLIKARJUN TEMPLE AT CHIMMALAGI, INFRONT MALLIKARJUN TEMPLE AT CHIMMALAGI",12,2019
"INFRONT OF SHRI JAGADGURU RENUKACHARYA MANDIR, INFRONT OF SHRI JAGADGURU RENUKACHARYA MANDIR",9,2020
"HUVANUR VILLAGE IN FIELD R.S. NO 63/1 & 63/2, HUVANUR VILLAGE IN FIELD R.S. NO 63/1 & 63/2",5,2017
"NAGUR VILLAGE ACCUSED FIELD, NAGUR VILLAGE ACCUSED FIELD",9,2020
"ILKAL HULAGERI ROAD NEAR BORA PLOT, ILKAL HULAGERI ROAD NEAR BORA PLOT",9,2020
"HIPPARAGI KRISHNA BRIDGE, HIPPARAGI KRISHNA BRIDGE",5,2016
