"IN COMPLAINANT HOUSE AT KUNIBENCH, IN COMPLAINANT HOUSE AT KUNIBENCH",4,2022
"IN COMPLAINANT FIELD AT AIHOLE NEAR HUNCHI MALLI, IN COMPLAINANT FIELD AT AIHOLE NEAR HUNCHI MALLI",7,2023
"In Complainants house of Nandikeswar Village, In Complainants house of Nandikeswar Village",5,2019
"HEBBALLI VILLAGE, HEBBALLI VILLAGE",3,2022
"Bommanagi Village, Bommanagi Village",11,2017
"Benakatti Village In Complainant House, Benakatti Village In Complainant House",2,2020
"SANGONDI, SANGONDI",8,2023
"Residence of Dr Yogappanavar Shanti Nagar Bagalkot, Residence of Dr Yogappanavar Shanti Nagar Bagalkot",9,2016
"Marawadi Galli Bagalkot, Marawadi Galli Bagalkot",11,2016
"NAVANAGAR SAVITA LADGE, NAVANAGAR SAVITA LADGE",11,2021
"TAKKALAKI RC, TAKKALAKI RC",11,2021
"SECTOR NO 26, SECTOR NO 26",1,2022
"Ambuli Ghat Open place and Jagadal Villageinfront, Ambuli Ghat Open place and Jagadal Villageinfront",4,2020
"Yallatti Village in Complaint House, Yallatti Village in Complaint House",10,2021
"Near Beersiddeshwar Temple, Hipparagi Village, Near Beersiddeshwar Temple, Hipparagi Village",12,2022
"In Accused House, Near Bilal Masidi Banahatti, In Accused House, Near Bilal Masidi Banahatti",6,2023
"Bilagi City Near Basaveshwar Nagar 2 nd Cross,, Bilagi City Near Basaveshwar Nagar 2 nd Cross,",12,2020
"HANAPUR SP TANDA  FOREST, HANAPUR SP TANDA  FOREST",5,2022
"HUNGUND TOWN NEAR LIONS SCHOOL, HUNGUND TOWN NEAR LIONS SCHOOL",1,2018
"HUNGUND TOWN MALLIKARJUN NAGAR IN COMPLAINANT, HUNGUND TOWN MALLIKARJUN NAGAR IN COMPLAINANT",4,2022
"HIREUPNAL LIMITS IN ACCUSED MILK DAIRY, HIREUPNAL LIMITS IN ACCUSED MILK DAIRY",4,2019
"ILKAL AND PUDIPALIII VILLAGE KERAL, ILKAL AND PUDIPALIII VILLAGE KERAL",3,2020
"IN HANAMASAGAR FOREST, IN HANAMASAGAR FOREST",3,2021
"LINGANUR VILLAGE,IN COMPLAINANT HOUSE, LINGANUR VILLAGE,IN COMPLAINANT HOUSE",10,2020
"Jamkhandi, Muttunakanti Math's Rent Home &, Jamkhandi, Muttunakanti Math's Rent Home &",12,2017
"Darga Colony & Near Bus Stand, Darga Colony & Near Bus Stand",11,2018
"Jamkhadni Town, Choudayya Nagar, Jamkhadni Town, Choudayya Nagar",3,2023
"Halageri Village Behind Of Complaint House In, Halageri Village Behind Of Complaint House In",5,2021
"In Sulikeri Village Dhani'S Field, In Sulikeri Village Dhani'S Field",3,2022
"IN COMPLAINANT FARM, IN COMPLAINANT FARM",5,2018
"MUDHOL  NEAR BUS STOP, MUDHOL  NEAR BUS STOP",1,2021
"MUDHOL MANISHA BAR AND RESTORANT, MUDHOL MANISHA BAR AND RESTORANT",4,2023
"Kulali Village, Near Pandurang Plot, Kulali Village, Near Pandurang Plot",4,2018
"Mudhol Town Limits At Complainent House, Mudhol Town Limits At Complainent House",11,2020
"In Naganur Village Limits Near Yallammadevi Temple, In Naganur Village Limits Near Yallammadevi Temple",5,2022
"Moodbidre Fire Station Quarters and, Moodbidre Fire Station Quarters and",3,2023
"In The Complainant house at Kulali Village, In The Complainant house at Kulali Village",4,2023
"Navanagar Vambe colony, Navanagar Vambe colony",7,2016
"Accused Yallappa SO Chandrappa Hoddalur House, Accused Yallappa SO Chandrappa Hoddalur House",7,2020
"In Kavatagi Cross Accused Father's Shedd, In Kavatagi Cross Accused Father's Shedd",3,2020
"In Tungal Village Complainant House, In Tungal Village Complainant House",5,2020
"One Room at Banglore road, One Room at Banglore road",4,2017
"Beside Railway Bridge, Beside Railway Bridge",6,2017
"A.P.M.C. YARD MARKET, A.P.M.C. YARD MARKET",7,2017
"Complainant Farm, Complainant Farm",7,2017
"OPEN PLACE AT ANJINAPPA NAGAR, OPEN PLACE AT ANJINAPPA NAGAR",7,2017
"Infront of Complainant House, Yerragudi Village,, Infront of Complainant House, Yerragudi Village,",7,2017
"Infront of Durgamma Temple, Ballari, Infront of Durgamma Temple, Ballari",9,2017
"AT Complaint House, Near Renuka Yellamma Temple, AT Complaint House, Near Renuka Yellamma Temple",12,2017
"In complainant house, 9th cross right side, In complainant house, 9th cross right side",5,2018
"KANEKAL ROAD, BEHIND BRANDI SHOP, KANEKAL ROAD, BEHIND BRANDI SHOP",7,2018
"D.NO.25, W.No.10, NEAR DODDA MARKET, D.NO.25, W.No.10, NEAR DODDA MARKET",10,2018
"Infront of complainant house, Near Sharanabasava, Infront of complainant house, Near Sharanabasava",10,2018
"In Accused rented house, In Accused rented house",4,2019
"In complainant house, 1st cross, Neharu colony, In complainant house, 1st cross, Neharu colony",6,2019
"AT THRON BUSHES IN FIELDS, AT THRON BUSHES IN FIELDS",7,2019
"AT ACCUSED HOUSE VIDYA NAGAR, GREEN WOOD PUBLIC, AT ACCUSED HOUSE VIDYA NAGAR, GREEN WOOD PUBLIC",7,2019
"INFRONT OF COMPLAINANT HOUSE, NEAR DURUGAMMA TEMP, INFRONT OF COMPLAINANT HOUSE, NEAR DURUGAMMA TEMP",4,2020
"AT DESERTED AREA, SUSHMA SWARJ COLONY, AT DESERTED AREA, SUSHMA SWARJ COLONY",6,2020
"AT DWARAKA LODGE, BALLARI AT KUDULIGI LODGE, AT DWARAKA LODGE, BALLARI AT KUDULIGI LODGE",7,2020
"AT COMPLAIANT HOUSE AND ACCUSED HOUSE GOPAL GOUDA, AT COMPLAIANT HOUSE AND ACCUSED HOUSE GOPAL GOUDA",9,2020
