"MIDDLE OF AIHOLE KALIGUDD VILLAGE MALAPRABHA RIVER, MIDDLE OF AIHOLE KALIGUDD VILLAGE MALAPRABHA RIVER",1,2016
"GUDUR VILLAGE COMPLAINENT DANAD KOTTIGE, GUDUR VILLAGE COMPLAINENT DANAD KOTTIGE",6,2016
"AMINAGADBUS STAND NEAR INSAPECTON BENLOW, AMINAGADBUS STAND NEAR INSAPECTON BENLOW",7,2016
"AMINAGAD PATTAN PACHAYATI NEAR IDEA TAVER, AMINAGAD PATTAN PACHAYATI NEAR IDEA TAVER",7,2016
"NEAR BUSTAND OF AIHOLE VILLAGE, NEAR BUSTAND OF AIHOLE VILLAGE",8,2016
"AMINAGAD BUS STAND, AMINAGAD BUS STAND",2,2017
"AMBLIKOPPA TO MUGANUR NEAR AMBLIKOPPA VILLAGE, AMBLIKOPPA TO MUGANUR NEAR AMBLIKOPPA VILLAGE",7,2018
"AIHOLE VILLAGE  RAMALINGESHWAR TEMPLE, AIHOLE VILLAGE  RAMALINGESHWAR TEMPLE",7,2018
"AMINAGAD COMPLAINANT TRANSAPORT OFFICE FRONT, AMINAGAD COMPLAINANT TRANSAPORT OFFICE FRONT",11,2018
"AIHOLE VILLAGE NEAR DURGA TEMPLE, AIHOLE VILLAGE NEAR DURGA TEMPLE",9,2019
"INFRONT OF S.S.DADDENNAVAR RESIDENCY AMINGAD, INFRONT OF S.S.DADDENNAVAR RESIDENCY AMINGAD",10,2019
"NIMBALAGUNDI VILLAGE COMPLAINANT FIELD, NIMBALAGUNDI VILLAGE COMPLAINANT FIELD",3,2020
"AIHOLE -KUNIBENCHI ROAD NEAR AIHOLE GOVT HOSPITAL, AIHOLE -KUNIBENCHI ROAD NEAR AIHOLE GOVT HOSPITAL",5,2020
"AIHOLE BUSTAND, AIHOLE BUSTAND",5,2020
"NEAR GOVT SCHOOL AMBLIKOPPA, NEAR GOVT SCHOOL AMBLIKOPPA",6,2020
"Aminagad Near Rakkasagi Village, Aminagad Near Rakkasagi Village",9,2020
"CHIKKAMAGI VILLAGE COMPLAINANT FIELD, CHIKKAMAGI VILLAGE COMPLAINANT FIELD",1,2021
"AIHOLE VILLAGE, AIHOLE VILLAGE",3,2021
"GUDUR HALLA AND NEAR GUDUR BUS STAND, GUDUR HALLA AND NEAR GUDUR BUS STAND",3,2021
"AMINAGAD TOWN NEAR KBS SCHOOL NO 2, AMINAGAD TOWN NEAR KBS SCHOOL NO 2",8,2021
"VADAGERI VILLAGE, VADAGERI VILLAGE",9,2021
"AMINAGAD TOWN NEAR BUSTAND, AMINAGAD TOWN NEAR BUSTAND",10,2021
"IN COMPLAINANT LAND DHAMMUR, IN COMPLAINANT LAND DHAMMUR",11,2021
"INFRONT OF COMPLAINANT HOUSE, INFRONT OF COMPLAINANT HOUSE",3,2022
"INFRONT OF SAMUDAYA BHAVAN AT RAMATHAL, INFRONT OF SAMUDAYA BHAVAN AT RAMATHAL",6,2022
"INFRONT OF New Anand Phanshi Stors Amenagad, INFRONT OF New Anand Phanshi Stors Amenagad",10,2022
"VADAGERI VILLAGE, VADAGERI VILLAGE",11,2022
"IN COMPLAINT  FIELD S NO 34/3 AT GUDUR, IN COMPLAINT  FIELD S NO 34/3 AT GUDUR",1,2023
"INDIAN PETROL PUMP AT KABBINA KANI AMINAGAD, INDIAN PETROL PUMP AT KABBINA KANI AMINAGAD",3,2023
"COMLAINANT FIELD AT VADAGERI, COMLAINANT FIELD AT VADAGERI",7,2023
"CHANDRAMOULI LAY OUT AT AMINAGAD, CHANDRAMOULI LAY OUT AT AMINAGAD",7,2023
"NFRONT  DYAMANNA HULLUR HOME AT KAMATAGI, NFRONT  DYAMANNA HULLUR HOME AT KAMATAGI",7,2023
"INFRONT OF NEAR VETERNERY HOSPITAL AT  AMINAGAD, INFRONT OF NEAR VETERNERY HOSPITAL AT  AMINAGAD",8,2023
"COMPLAINT FIELD SNO 17 AT BASAVANAL, COMPLAINT FIELD SNO 17 AT BASAVANAL",9,2023
"VADAGERI VILLAGE COMPLAINT HOUSE, VADAGERI VILLAGE COMPLAINT HOUSE",9,2023
"INFRONT OF VETERNARY HOSPITAL AMINAGAD, INFRONT OF VETERNARY HOSPITAL AMINAGAD",10,2023
"BISIDE COMPLAINT HOUSE AT BENAKANAVARI, BISIDE COMPLAINT HOUSE AT BENAKANAVARI",10,2023
"HIREMAGI CHIKKAMAGI BRIDZ, HIREMAGI CHIKKAMAGI BRIDZ",11,2023
"INFRONT VETERNARY HOSPITAL  AT AMINAGAD, INFRONT VETERNARY HOSPITAL  AT AMINAGAD",11,2023
"SHIP MARKET PARKING PLACE AT AMINAGAD, SHIP MARKET PARKING PLACE AT AMINAGAD",12,2023
"BASAVESHVAR TEMPLE AT AMINAGAD, BASAVESHVAR TEMPLE AT AMINAGAD",12,2023
"INFRONT OF ACCUSED HOUSE AT BENAL, INFRONT OF ACCUSED HOUSE AT BENAL",1,2024
"SIDDANAKOLL MATH PARKING PLACE, SIDDANAKOLL MATH PARKING PLACE",1,2024
"PARKING  PLACE AT SIDDANAKOLLA MATH, PARKING  PLACE AT SIDDANAKOLLA MATH",1,2024
"KAMATAGI VILALGE, GULEDAGUDD ROAD, KAMATAGI VILALGE, GULEDAGUDD ROAD",1,2024
"In Malaprabha River Near Desayi's Field Pattadkal, In Malaprabha River Near Desayi's Field Pattadkal",1,2016
"In Banashankari Jatra Tent, In Banashankari Jatra Tent",1,2016
"GOVANAKOPPA RIVER, GOVANAKOPPA RIVER",2,2016
"Near Bankaneri Cross, Near Bankaneri Cross",3,2016
"Near Bankaneri Cross Of Sulla Village, Near Bankaneri Cross Of Sulla Village",3,2016
"Near Desayi Circle of Badami City, Near Desayi Circle of Badami City",4,2016
"Infront of Kalidas Bank of Badami, Infront of Kalidas Bank of Badami",5,2016
